NIM,Angkatan,Semester,IPK,SKS_Lulus,Mengulang,Absensi,Status_Pembayaran,Status_DO
20220347,2021,7,2.52,57,3,84,1,0
20220348,2022,6,3.52,80,2,70,1,0
20220349,2021,7,2.27,109,1,60,0,1
20220350,2023,5,2.03,66,1,69,0,1
20220351,2023,3,2.45,139,1,76,1,0
20220352,2021,8,2.24,54,3,89,0,1
20220353,2023,5,3.65,76,3,94,1,0
20220354,2021,2,3.54,97,3,78,1,0
20220355,2021,5,2.8,44,4,93,0,1
20220356,2023,6,1.92,112,0,91,0,1
20220357,2021,6,3.23,46,1,71,0,1
20220358,2023,5,3.05,80,1,76,1,0
20220359,2022,6,3.74,123,4,65,0,1
20220360,2021,3,2.92,49,1,72,1,0
20220361,2022,7,2.47,101,1,98,0,1
20220362,2023,5,2.84,65,3,81,1,1
20220363,2022,8,3.76,107,3,70,1,1
20220364,2022,3,3.19,63,0,66,0,1
20220365,2023,7,3.14,117,1,80,0,0
20220366,2022,8,2.28,80,2,60,1,1
20220367,2022,8,3.29,104,1,89,0,0
20220368,2023,8,3.3,56,1,78,0,0
20220369,2022,7,2.43,63,0,88,0,0
20220370,2023,3,2.77,66,2,94,0,0
20220371,2022,8,2.39,46,1,79,0,1
20220372,2023,8,2.32,112,2,95,0,1
20220373,2023,4,1.85,138,3,98,0,1
20220374,2022,5,2.37,51,3,60,1,1
20220375,2022,7,2.91,124,2,82,0,1
20220376,2022,7,1.8,42,1,90,1,0
20220377,2021,6,2.37,118,2,94,0,1
20220378,2021,7,3.56,124,2,81,1,0
20220379,2021,3,2.99,49,3,66,1,1
20220380,2023,7,3.02,72,2,92,0,0
20220381,2022,4,2.61,85,4,95,0,1
20220382,2023,5,3.15,98,4,66,0,1
20220383,2021,5,2.18,91,3,86,0,1
20220384,2022,7,3.44,45,1,61,1,0
20220385,2023,8,2.03,41,1,76,1,0
20220386,2022,2,3.11,68,3,60,0,1
20220387,2023,2,2.48,79,1,89,1,0
20220388,2022,8,3.3,136,0,81,0,0
20220389,2021,8,2.9,100,4,87,1,0
20220390,2021,8,2.7,107,0,92,0,0
20220391,2022,3,2.14,107,0,85,1,0
20220392,2023,2,3.07,68,0,94,0,1
20220393,2021,8,3.75,101,3,70,1,1
20220394,2021,3,3.45,99,0,66,0,1
20220395,2021,6,1.92,123,2,87,0,1
20220396,2022,3,2.55,80,1,84,1,0
20220397,2022,2,3.65,126,3,90,1,0
20220398,2023,7,2.81,121,2,62,1,0
20220399,2023,6,3.12,128,2,92,1,0
20220400,2023,2,3.63,104,4,93,1,0
20220401,2022,3,3.55,103,4,80,0,1
20220402,2022,4,2.8,118,2,96,1,0
20220403,2023,5,2.68,102,4,78,1,0
20220404,2023,2,2.48,137,1,96,1,0
20220405,2022,8,3.24,87,1,80,1,0
20220406,2023,3,2.37,59,4,73,0,1
20220407,2021,8,2.3,76,0,69,0,1
20220408,2022,8,2.51,103,2,66,0,1
20220409,2023,8,2.15,130,1,88,0,1
20220410,2022,8,3.19,125,4,99,1,0
20220411,2021,8,3.03,44,4,67,0,1
20220412,2022,6,2.77,73,1,98,0,0
20220413,2022,2,2.58,78,1,72,1,0
20220414,2022,2,3.62,106,0,78,1,0
20220415,2022,5,1.86,120,4,70,1,1
20220416,2021,3,3.34,101,4,61,1,1
20220417,2022,4,3.6,127,3,65,1,1
20220418,2022,6,2.69,63,0,88,1,0
20220419,2023,3,2.9,42,1,64,0,1
20220420,2022,6,3.69,110,1,89,0,0
20220421,2023,2,2.22,128,2,98,1,0
20220422,2021,8,2.84,106,1,95,0,0
20220423,2021,5,2.75,118,4,86,1,0
20220424,2021,5,2.32,132,1,77,1,0
20220425,2021,7,3.44,89,4,95,0,1
20220426,2023,4,3.6,68,4,75,0,1
20220427,2022,5,3.36,113,0,64,0,1
20220428,2021,8,2.19,71,1,68,0,1
20220429,2022,2,1.97,126,0,93,0,1
20220430,2023,4,3.01,78,4,93,1,0
20220431,2023,3,1.91,48,1,95,0,1
20220432,2023,8,3.15,53,1,90,0,0
20220433,2021,8,2.86,107,0,79,1,0
20220434,2022,5,3.13,103,0,76,0,0
20220435,2022,4,2.98,59,4,79,0,1
20220436,2022,2,2.65,67,4,87,0,1
20220437,2023,7,2.2,53,1,80,0,1
20220438,2021,6,2.41,83,1,78,0,0
20220439,2023,6,2.85,137,3,62,1,1
20220440,2023,2,3.1,116,3,89,0,1
20220441,2022,2,3.36,134,2,64,0,1
20220442,2023,6,3.33,136,4,65,1,1
20220443,2022,7,3.75,78,2,62,0,1
20220444,2021,4,2.37,67,2,83,1,0
20220445,2022,6,1.94,103,0,60,1,1
20220446,2021,2,2.49,128,0,95,1,0
20220447,2022,5,3.29,71,3,74,0,1
20220448,2023,3,2.68,48,2,97,0,0
20220449,2023,7,3.44,67,3,77,0,1
20220450,2021,8,2.9,134,4,82,0,1
20220451,2021,7,3.66,56,1,88,1,0
20220452,2021,5,3.7,126,0,81,1,0
20220453,2022,5,1.94,116,4,83,1,1
20220454,2022,8,2.71,94,4,72,0,1
20220455,2021,2,3.02,49,0,92,1,0
20220456,2023,6,2.31,119,0,81,0,1
20220457,2022,4,2.61,45,2,94,1,0
20220458,2022,7,3.16,87,3,76,1,0
20220459,2022,8,2.25,114,4,81,1,1
20220460,2021,7,3.0,106,2,64,0,1
20220461,2021,5,3.19,131,2,84,1,0
20220462,2021,6,1.98,80,4,65,1,1
20220463,2021,7,2.8,118,4,76,0,1
20220464,2021,4,2.33,99,1,90,1,0
20220465,2023,5,3.25,116,3,76,1,0
20220466,2023,4,2.18,81,4,92,0,1
20220467,2021,6,3.58,120,0,98,0,0
20220468,2022,7,2.66,110,1,96,0,0
20220469,2021,3,2.2,67,3,63,0,1
20220470,2023,7,2.68,52,0,73,1,0
20220471,2023,6,2.62,120,0,72,1,0
20220472,2022,7,2.66,54,3,86,0,1
20220473,2023,8,2.97,75,1,83,1,0
20220474,2021,7,2.84,131,0,86,1,0
20220475,2022,2,2.1,54,2,67,0,1
20220476,2021,7,1.93,114,3,98,1,1
20220477,2021,7,3.26,95,3,80,1,0
20220478,2022,4,2.92,134,4,70,1,1
20220479,2021,3,2.52,43,1,90,0,0
20220480,2023,4,3.42,138,2,86,1,0
20220481,2021,4,2.58,137,2,86,1,0
20220482,2022,5,3.39,91,4,67,1,1
20220483,2022,2,2.41,130,0,92,0,0
20220484,2022,4,1.95,49,0,71,0,1
20220485,2021,8,3.67,133,2,94,1,0
20220486,2022,6,2.59,84,1,93,1,0
20220487,2022,8,3.39,123,0,75,0,0
20220488,2021,6,2.36,68,3,95,0,1
20220489,2023,7,3.09,92,4,61,0,1
20220490,2021,5,3.55,68,1,71,0,1
20220491,2022,2,1.88,62,0,86,1,0
20220492,2022,8,3.46,96,2,76,0,0
20220493,2021,2,2.94,89,4,79,0,1
20220494,2023,8,3.01,60,0,80,0,0
20220495,2022,7,2.85,82,2,89,0,0
20220496,2022,6,3.55,49,0,79,1,0
20220497,2022,3,1.89,115,4,67,1,1
20220498,2021,5,2.32,69,3,77,1,1
20220499,2022,8,3.55,90,3,77,1,0
20220500,2023,8,3.3,72,2,77,0,0
20220501,2022,7,1.84,57,3,61,1,1
20220502,2022,5,2.83,117,4,71,1,1
20220503,2023,6,2.86,61,2,91,0,0
20220504,2022,6,2.6,103,0,67,1,0
20220505,2021,8,2.39,60,1,69,1,1
20220506,2021,3,3.16,40,0,70,1,0
20220507,2021,3,2.22,54,4,73,0,1
20220508,2023,2,3.4,75,2,85,0,0
20220509,2022,5,3.41,86,0,89,0,0
20220510,2021,5,2.63,93,2,63,1,0
20220511,2023,6,2.37,125,3,98,0,1
20220512,2022,2,2.37,71,1,70,0,1
20220513,2023,7,2.76,97,4,83,1,0
20220514,2021,5,3.24,85,0,81,0,0
20220515,2021,2,2.52,93,1,62,1,0
20220516,2021,2,3.02,72,4,96,1,1
20220517,2023,8,2.56,78,4,61,0,1
20220518,2023,6,2.41,62,3,71,1,1
20220519,2021,2,1.85,82,2,80,1,0
20220520,2023,3,1.81,94,2,64,1,1
20220521,2021,3,2.25,41,1,66,0,1
20220522,2021,4,2.61,105,3,63,1,1
20220523,2022,6,3.5,77,4,95,0,1
20220524,2023,8,3.4,68,3,81,0,1
20220525,2021,7,2.33,106,3,88,1,1
20220526,2021,4,2.29,110,1,68,1,1
20220527,2023,3,2.25,75,2,85,1,0
20220528,2022,8,2.48,68,3,71,1,1
20220529,2022,4,2.8,76,3,60,1,1
20220530,2021,6,2.68,139,3,67,0,1
20220531,2023,8,2.24,126,0,92,0,1
20220532,2022,6,2.06,84,3,63,1,1
20220533,2023,2,1.83,55,3,73,0,1
20220534,2023,5,2.11,70,4,88,0,1
20220535,2021,2,3.21,73,0,73,0,1
20220536,2022,6,2.29,89,3,68,1,1
20220537,2021,8,2.74,104,3,68,0,1
20220538,2022,3,2.98,121,1,85,0,0
20220539,2022,7,3.57,101,1,76,0,1
20220540,2022,3,3.58,82,0,63,1,0
20220541,2022,8,3.29,95,4,62,0,1
20220542,2022,2,1.87,54,0,88,1,0
20220543,2023,7,2.95,87,0,84,0,0
20220544,2021,8,3.37,88,1,80,1,0
20220545,2023,6,1.83,120,1,71,0,1
20220546,2022,3,2.9,83,4,60,1,1
20220547,2021,6,3.52,49,3,60,0,1
20220548,2022,7,2.75,59,4,66,1,1
20220549,2021,7,1.81,109,3,69,1,1
20220550,2023,3,1.82,47,2,74,0,1
20220551,2021,6,2.63,84,1,99,0,0
20220552,2021,4,2.11,73,2,70,1,1
20220553,2021,6,3.13,135,2,82,1,0
20220554,2021,7,3.22,90,1,72,0,1
20220555,2021,6,2.16,43,2,86,1,0
20220556,2022,8,3.58,78,0,76,0,0
20220557,2021,2,2.68,123,3,72,0,1
20220558,2021,4,2.09,63,4,71,1,1
20220559,2023,5,3.33,127,1,88,0,0
20220560,2021,8,3.38,94,0,80,1,0
20220561,2023,2,3.08,65,4,79,0,1
20220562,2022,5,3.51,64,4,79,0,1
20220563,2021,3,3.27,75,4,90,0,1
20220564,2023,5,3.56,110,2,67,0,1
20220565,2023,8,2.67,113,2,83,0,1
20220566,2022,6,3.3,97,2,70,0,1
20220567,2021,8,3.8,51,2,98,0,0
20220568,2021,5,3.25,40,0,92,0,0
20220569,2023,7,2.03,89,2,74,0,1
20220570,2021,2,2.84,64,1,63,0,1
20220571,2023,2,2.97,119,4,60,0,1
20220572,2021,5,2.15,44,0,91,0,1
20220573,2023,2,3.73,122,2,70,1,0
20220574,2021,7,2.15,107,4,89,1,1
20220575,2022,8,2.16,45,0,96,0,1
20220576,2021,2,3.63,65,4,78,0,1
20220577,2021,5,2.73,94,0,95,1,0
20220578,2022,4,1.93,78,3,93,0,1
20220579,2021,4,3.0,48,0,66,0,1
20220580,2022,3,3.0,84,2,79,0,0
20220581,2021,2,1.93,53,4,71,1,1
20220582,2023,8,3.75,94,4,91,0,1
20220583,2023,5,2.89,48,4,61,1,1
20220584,2021,2,2.92,54,1,81,1,0
20220585,2021,6,2.84,76,1,99,0,1
20220586,2021,7,3.02,89,2,83,1,0
20220587,2023,2,2.33,123,3,90,1,1
20220588,2021,2,2.37,111,1,63,1,1
20220589,2023,4,2.82,135,0,83,0,0
20220590,2022,7,3.41,60,2,76,0,1
20220591,2023,5,1.9,96,3,99,1,1
20220592,2023,2,3.01,58,0,78,0,0
20220593,2022,4,3.41,132,4,99,1,0
20220594,2023,3,2.11,97,1,97,0,1
20220595,2021,7,1.83,134,0,93,0,1
20220596,2021,4,2.43,45,3,92,1,0
20220597,2023,4,2.98,43,2,65,0,1
20220598,2021,8,2.08,82,0,95,1,0
20220599,2023,4,2.65,132,2,72,0,1
20220600,2021,8,2.9,81,4,68,1,1
20220601,2021,2,3.0,42,3,94,0,1
20220602,2023,2,2.35,40,3,93,1,1
20220603,2021,3,2.6,94,1,75,0,0
20220604,2023,6,3.36,54,3,77,0,1
